Date,Open,High,Low,Close,Volume
2010-06-29,38.74519643421386,38.780087100434976,37.56766473178622,37.82933807373047,136384200
2010-06-30,37.707238592265,38.09102608644193,37.19261271304499,37.25366973876953,101313200
2010-07-01,37.36705616400169,37.47172485707795,36.43375227629043,37.14899444580078,158695000
2010-07-02,37.21004483128989,37.34960417297999,36.71286446855913,37.04431915283203,78565300
2010-07-06,37.593845991971854,37.829353091421616,36.85243734090877,37.15772247314453,88591900
2010-07-07,37.279828634644296,38.38757911103098,37.24493796507187,38.34396743774414,72448400
2010-07-08,38.64926190176405,38.71031891946786,38.099745415071865,38.553314208984375,78264600
2010-07-09,38.53587874815801,38.928390624967165,38.44865536547099,38.9196662902832,47851200
2010-07-12,38.884762554135506,39.27727093824898,38.78009054617171,39.03304290771485,60927500
2010-07-13,39.37320384685828,39.68721309825441,39.07663992357927,39.53893280029297,93310500
2010-07-14,39.617445648730005,39.9576246750154,39.46044429545011,39.73956298828125,87687100
2010-07-15,39.66105491506377,39.896561901977634,39.242376936335845,39.774444580078125,95992500
2010-07-16,39.634892803208665,39.80062182224649,38.64053199841144,38.67542266845703,98831900
2010-07-19,38.78881999288601,39.08538406651472,38.46608625013626,39.00688171386719,81800800
2010-07-20,38.37887530819527,39.4779052734375,38.25676123731934,39.4779052734375,89061200
2010-07-21,39.89656909441633,39.91401110190385,38.86731763006754,38.93709564208984,83577000
2010-07-22,39.486613714084775,40.10590815416507,39.46044737438935,39.92273712158203,82890300
2010-07-23,39.65235090425398,40.21058849527751,39.58257286905528,40.17570114135742,81056100
2010-07-26,40.228014820313106,40.524578816279686,40.044843821222344,40.50713348388672,64850900
2010-07-27,40.68159187123059,40.751373215195194,40.30652546581489,40.48969650268555,67655600
2010-07-28,40.44607267783327,40.629246987042535,40.01867372017709,40.166954040527344,51988200
2010-07-29,40.4024898707615,40.48099225153128,39.4691856368091,39.870418548583984,85669500
2010-07-30,39.53894828605188,40.20185437735499,39.312162259062646,39.95762634277344,98958100
2010-08-02,40.46353179814377,40.81243187735608,40.30652709523401,40.707759857177734,68706800
2010-08-03,40.681590295669025,40.73392630161555,40.34141457541033,40.53330993652344,60856600
2010-08-04,40.71647750774791,40.98687519113385,40.55947283060216,40.943260192871094,43820600
2010-08-05,40.742640931728154,40.92581193284909,40.576915263193534,40.847312927246094,39150200
2010-08-06,40.40247886290517,40.86476868628572,40.1669717847609,40.7862663269043,71339200
2010-08-09,40.99561018138447,41.16133591831128,40.812439104671945,41.065391540527344,26927600
2010-08-10,40.7339295259012,40.951991243569445,40.3675841099925,40.707759857177734,86694500
